"term","pval","combined","adjp","genes","n"
"Lapatinib CTD 00004348",0.0461866510315301,70.4295798356259,0.122595436759779,"CCND1",1
"Dracorhodin CTD 00002504",0.0461866510315301,70.4295798356259,0.122595436759779,"CDKN1A",1
"Fenhexamid CTD 00004037",0.0461866510315301,70.4295798356259,0.122595436759779,"CCND1",1
"Cianidanol TTD 00007173",0.0461866510315301,70.4295798356259,0.122595436759779,"CA14",1
"Glycidamide CTD 00002776",0.0446408219898234,19.3140581851406,0.122595436759779,"MGST1;CYP4B1",2
"Healon BOSS",0.0453466072887356,19.0455923344118,0.122595436759779,"ADAMTS5;LYVE1",2
"disulfiram CTD 00005860",0.0460565428365158,18.7827746145381,0.122595436759779,"MGST1;MT1X",2
"celecoxib CTD 00003448",0.0460565428365158,18.7827746145381,0.122595436759779,"CDKN1A;CCND1",2
"MG-132 MCF7 UP",0.0454931328158787,12.1983295790824,0.122595436759779,"CEBPB;CDKN1A;SAT1",3
"scopolamine PC3 UP",0.0448608577639109,9.7783854645757,0.122595436759779,"ATP1B4;MYH11;LYVE1;CXCL14",4
"2-Nonenal, 4-hydroxy-, (2E,4R)- CTD 00001295",0.0471666854779088,11.8753637537758,0.124925212513073,"CDKN1A;HSPA2;TIMP1",3
"irinotecan MCF7 UP",0.0475150681784861,8.16445671831383,0.125575537328856,"CDKN1A;PITPNM1;MT1X;HSPA2;SAT1",5
"MLS003171503 CTD 00005801",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"Calpain inhibitor I CTD 00002578",0.049002646158959,64.7536945132328,0.126228335358837,"CCND1",1
"noscapine CTD 00006427",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"Phorbol 12,13-dibutyrate CTD 00007051",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"pergolide CTD 00006492",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"bisindolylmaleimide iv CTD 00003116",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"o6-benzylguanine CTD 00002624",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"estradiol valerate CTD 00000816",0.049002646158959,64.7536945132328,0.126228335358837,"CCND1",1
"calphostin C CTD 00002460",0.049002646158959,64.7536945132328,0.126228335358837,"CDKN1A",1
"1,4-chrysenequinone PC3 UP",0.0482109547042969,18.026606210575,0.126228335358837,"CDKN1A;HSPA2",2
"tetryzoline HL60 UP",0.0482109547042969,18.026606210575,0.126228335358837,"TIMP1;SAT1",2
"azacitidine PC3 UP",0.0489371956422302,17.7848061223545,0.126228335358837,"CEBPB;SAT1",2
"15-delta prostaglandin J2 MCF7 UP",0.0504016577916264,17.3157369439156,0.129558787712791,"CEBPB;CDKN1A",2
"Seocalcitol CTD 00002914",0.0518104682069731,59.815708753827,0.130974289194025,"CDKN1A",1
"Tylophorine CTD 00000134",0.0518104682069731,59.815708753827,0.130974289194025,"CCND1",1
"NPPB CTD 00002434",0.0518104682069731,59.815708753827,0.130974289194025,"CCND1",1
"abacavir CTD 00003464",0.0518104682069731,59.815708753827,0.130974289194025,"ADH1A",1
"AC1L1WKQ CTD 00007050",0.0518104682069731,59.815708753827,0.130974289194025,"TIMP1",1
"76180-96-6 CTD 00001374",0.0518104682069731,59.815708753827,0.130974289194025,"CDKN1A",1
"Alitretinoin TTD 00001891",0.0518104682069731,59.815708753827,0.130974289194025,"RXRG",1
"deferoxamine CTD 00005759",0.0511398210823732,17.0882011392816,0.130974289194025,"CDKN1A;CCND1",2
"valproic acid MCF7 UP",0.0533776949327726,16.4320854722864,0.134657366762222,"BCL6;SAT1",2
"kn-93 CTD 00002783",0.0546101404797424,55.4854727585328,0.134705013183365,"CCND1",1
"tetrandrine CTD 00000485",0.0546101404797424,55.4854727585328,0.134705013183365,"CDKN1A",1
"FLAVANONE CTD 00001352",0.0546101404797424,55.4854727585328,0.134705013183365,"CDKN1A",1
"1,1,2,2,3,3-hexabromocyclododecane CTD 00003141",0.0546101404797424,55.4854727585328,0.134705013183365,"CCND1",1
"Chloroethylene CTD 00006592",0.0546101404797424,55.4854727585328,0.134705013183365,"ADH1B",1
"probenecid CTD 00006615",0.0546101404797424,55.4854727585328,0.134705013183365,"ABCA8",1
"cannabidiol CTD 00005567",0.0546101404797424,55.4854727585328,0.134705013183365,"TIMP1",1
"Methoxycamptothecin CTD 00001213",0.0546101404797424,55.4854727585328,0.134705013183365,"CDKN1A",1
"daidzein CTD 00000166",0.054131352519168,16.2218183188915,0.134705013183365,"CDKN1A;CCND1",2
"0297417-0002B PC3 UP",0.054131352519168,16.2218183188915,0.134705013183365,"CDKN1A;SAT1",2
"digitoxigenin PC3 UP",0.0540598036997287,8.62153485750452,0.134705013183365,"CEBPB;CDKN1A;BCL6;SAT1",4
"acetaldehyde CTD 00005293",0.0556500474160147,15.8132763993557,0.13699336269144,"ADH1B;EIF4EBP1",2
"clofibric acid CTD 00005685",0.0574016861834188,51.6612820658813,0.138239563767168,"ANGPTL4",1
"estradiol HL60 UP",0.0574016861834188,51.6612820658813,0.138239563767168,"MT1X",1
"DIETHYL PHTHALATE CTD 00000348",0.0574016861834188,51.6612820658813,0.138239563767168,"RXRG",1
"ethaverine HL60 UP",0.0574016861834188,51.6612820658813,0.138239563767168,"SAT1",1
"Sodium salicylate CTD 00006761",0.0574016861834188,51.6612820658813,0.138239563767168,"CDKN1A",1
"Dutasteride CTD 00003505",0.0574016861834188,51.6612820658813,0.138239563767168,"CCND1",1
"Isatin CTD 00006168",0.0574016861834188,51.6612820658813,0.138239563767168,"CDKN1A",1
"tetrandrine PC3 UP",0.0574016861834188,51.6612820658813,0.138239563767168,"MT1M",1
"Flavopiridol hydrochloride TTD 00008047",0.0574016861834188,51.6612820658813,0.138239563767168,"CCND1",1
"DEOXYNIVALENOL CTD 00000341",0.056415028608877,15.6147930765553,0.138239563767168,"CDKN1A;CD14",2
"OCHRATOXIN A CTD 00001202",0.0573712186726721,10.2323799829198,0.138239563767168,"CEBPB;CDKN1A;ABCA8",3
"colchicine HL60 UP",0.0579561191688583,15.2289061680894,0.139300042333024,"TIMP1;SAT1",2
"niclosamide CTD 00006390",0.0587321731619424,15.0413141302985,0.140887983164502,"CCND1;EIF4EBP1",2
"acetaminophen",0.0601851284985258,48.2625722176716,0.141577676483977,"CA14",1
"Anandamide CTD 00002912",0.0601851284985258,48.2625722176716,0.141577676483977,"TIMP1",1
"VERLUKAST CTD 00002469",0.0601851284985258,48.2625722176716,0.141577676483977,"ABCA8",1
"purvalanol A CTD 00004150",0.0601851284985258,48.2625722176716,0.141577676483977,"CDKN1A",1
"TDZD-8 CTD 00004374",0.0601851284985258,48.2625722176716,0.141577676483977,"CDKN1A",1
"POTASSIUM BROMATE CTD 00000989",0.0601851284985258,48.2625722176716,0.141577676483977,"CDKN1A",1
"Styrene oxide CTD 00000717",0.0601851284985258,48.2625722176716,0.141577676483977,"CDKN1A",1
"Dihydrocapsaicin CTD 00000675",0.0601851284985258,48.2625722176716,0.141577676483977,"CDKN1A",1
"Cdk9 Inhibitor II TTD 00002745",0.0601851284985258,48.2625722176716,0.141577676483977,"CCND1",1
"Gallic acid TTD 00008156",0.0601851284985258,48.2625722176716,0.141577676483977,"CA14",1
"3,4-DICHLOROANILINE CTD 00000754",0.0602951611561574,14.6763846023424,0.141577676483977,"C3;TIMP1",2
"MeIQx CTD 00001739",0.0610820405347493,14.49887643773,0.142059374272245,"CEBPB;CDKN1A",2
"dihydroergotamine HL60 UP",0.0610820405347493,14.49887643773,0.142059374272245,"TIMP1;SAT1",2
"methylergometrine HL60 UP",0.0610820405347493,14.49887643773,0.142059374272245,"TIMP1;SAT1",2
"glutathione CTD 00006035",0.0610820405347493,14.49887643773,0.142059374272245,"CDKN1A;CCND1",2
"simvastatin CTD 00007319",0.0606697309314326,9.79545130028866,0.142059374272245,"CDKN1A;CCND1;ALOX5AP",3
"latamoxef HL60 UP",0.061217872198247,5.93035267041666,0.142104604475398,"SOCS2;SFRP1;NNMT;ATP1B4;MYH11;CXCL14;HLA-DPA1",7
"propofol CTD 00007089",0.0629604905190821,45.2247437176315,0.142624784645268,"C3",1
"scopoletin CTD 00006727",0.0629604905190821,45.2247437176315,0.142624784645268,"ERAP2",1
"iodoacetamide CTD 00006160",0.0629604905190821,45.2247437176315,0.142624784645268,"F13A1",1
"sodium azide CTD 00007311",0.0629604905190821,45.2247437176315,0.142624784645268,"CDKN1A",1
"Lacosamide",0.0629604905190821,45.2247437176315,0.142624784645268,"CA14",1
"citric acid CTD 00007282",0.0629604905190821,45.2247437176315,0.142624784645268,"CDKN1A",1
"LY-294002 HL60 UP",0.0629604905190821,45.2247437176315,0.142624784645268,"SAT1",1
"fluorometholone HL60 UP",0.0629604905190821,45.2247437176315,0.142624784645268,"FKBP5",1
"chloramphenicol CTD 00005627",0.0629604905190821,45.2247437176315,0.142624784645268,"CDKN1A",1
"Baicalin CTD 00001780",0.0629604905190821,45.2247437176315,0.142624784645268,"CCND1",1
"cholecalciferol TTD 00007153",0.0629604905190821,45.2247437176315,0.142624784645268,"RXRG",1
"4-aminophenol TTD 00000939",0.0629604905190821,45.2247437176315,0.142624784645268,"CA14",1
"ursodiol CTD 00006973",0.0626664345180372,14.1533668656379,0.142624784645268,"CEBPB;CCND1",2
"MG-262 MCF7 UP",0.0645469175708213,9.32711594233101,0.145947752507357,"CEBPB;CDKN1A;SAT1",3
"pravastatin CTD 00007142",0.0657277952904182,42.4954284324617,0.146181490072132,"CDKN1A",1
"PHENANTHRENE CTD 00001483",0.0657277952904182,42.4954284324617,0.146181490072132,"TIMP1",1
"citrinin CTD 00005677",0.0657277952904182,42.4954284324617,0.146181490072132,"CDKN1A",1
"Butyl 4-hydroxybenzoate CTD 00001781",0.0657277952904182,42.4954284324617,0.146181490072132,"CCND1",1
"Acitretin CTD 00007146",0.0657277952904182,42.4954284324617,0.146181490072132,"CCND1",1
"rimexolone HL60 UP",0.0657277952904182,42.4954284324617,0.146181490072132,"FKBP5",1
"Chonsurid CTD 00005665",0.0657277952904182,42.4954284324617,0.146181490072132,"C3",1
"METHYL PARATHION CTD 00006309",0.0657277952904182,42.4954284324617,0.146181490072132,"CDKN1A",1
"thalidomide CTD 00006858",0.0650692104833967,13.6577255649751,0.146181490072132,"C3;CCND1",2
"Decitabine BOSS",0.0675027702550381,13.1875265400893,0.149856149966185,"CCND1;CXCL14",2
"zonisamide",0.0684870657945494,40.0317514173145,0.149970399692667,"CA14",1
"MLS003115428 CTD 00005749",0.0684870657945494,40.0317514173145,0.149970399692667,"C3",1
"doxazosin CTD 00007158",0.0684870657945494,40.0317514173145,0.149970399692667,"CDKN1A",1
"felodipine PC3 UP",0.0684870657945494,40.0317514173145,0.149970399692667,"MT1X",1
"luteolin MCF7 DOWN",0.0684870657945494,40.0317514173145,0.149970399692667,"HSPA2",1
"Perfluoroheptanoic acid CTD 00003374",0.0684870657945494,40.0317514173145,0.149970399692667,"ANGPTL4",1
"papaverine HL60 UP",0.0684870657945494,40.0317514173145,0.149970399692667,"SAT1",1
"MG-262 PC3 UP",0.0685368411371893,8.88911435915852,0.149970399692667,"CDKN1A;SAT1;NUDT4",3
"daunorubicin CTD 00005752",0.0691418950338979,12.88731848289,0.151023709904095,"CDKN1A;EIF4EBP1",2
"FEXOFENADINE HYDROCHLORIDE CTD 00003191",0.071238324931138,37.7982927857761,0.151536576203693,"TIMP1",1
"PERHEXILINE CTD 00006493",0.071238324931138,37.7982927857761,0.151536576203693,"EIF4EBP1",1
"letrozole HL60 UP",0.071238324931138,37.7982927857761,0.151536576203693,"FKBP5",1
"Lonafarnib CTD 00003616",0.071238324931138,37.7982927857761,0.151536576203693,"CCND1",1
"lycorine MCF7 DOWN",0.071238324931138,37.7982927857761,0.151536576203693,"HSPA2",1
"nitroglycerin CTD 00006039",0.071238324931138,37.7982927857761,0.151536576203693,"C3",1
"Fludioxonil CTD 00003504",0.071238324931138,37.7982927857761,0.151536576203693,"CCND1",1
"phosphate CTD 00006536",0.071238324931138,37.7982927857761,0.151536576203693,"EIF4EBP1",1
"5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one CTD 00000374",0.071238324931138,37.7982927857761,0.151536576203693,"CCND1",1
"Ethidium CTD 00005931",0.071238324931138,37.7982927857761,0.151536576203693,"CCND1",1
"CHRYSENE CTD 00001482",0.071238324931138,37.7982927857761,0.151536576203693,"TIMP1",1
"dapsone CTD 00005751",0.071238324931138,37.7982927857761,0.151536576203693,"FKBP5",1
"FERRIC AMMONIUM CITRATE CTD 00000709",0.071238324931138,37.7982927857761,0.151536576203693,"CDKN1A",1
"helveticoside PC3 UP",0.0705734405193424,8.68067581854786,0.151536576203693,"CDKN1A;BCL6;SAT1",3
"0175029-0000 MCF7 DOWN",0.0696812899012222,5.21217217067076,0.151536576203693,"SOCS2;CEBPB;CDKN1A;BCL6;CCND1;NAMPT;HSPA2;NUDT4",8
"VANADIUM CTD 00006979",0.0716251904492359,12.4556842964097,0.151830481837703,"ATP1B4;TIMP1",2
"Zinc acetate dihydrate CTD 00007284",0.0716251904492359,12.4556842964097,0.151830481837703,"CDKN1A;MT1X",2
"dobutamine",0.0739815955600831,35.7655500947877,0.152845225344943,"CA14",1
"flunisolide HL60 UP",0.0739815955600831,35.7655500947877,0.152845225344943,"FKBP5",1
"Antimycin A CTD 00005427",0.0739815955600831,35.7655500947877,0.152845225344943,"CD14",1
"indolo[3,2-b]carbazole CTD 00002853",0.0739815955600831,35.7655500947877,0.152845225344943,"ALOX5AP",1
"hmba CTD 00000732",0.0739815955600831,35.7655500947877,0.152845225344943,"CDKN1A",1
"metixene PC3 UP",0.0739815955600831,35.7655500947877,0.152845225344943,"CDKN1A",1
"Wogonin CTD 00003053",0.0739815955600831,35.7655500947877,0.152845225344943,"CCND1",1
"tetrandrine MCF7 UP",0.0739815955600831,35.7655500947877,0.152845225344943,"MT1X",1
"Tryptanthrin CTD 00002057",0.0739815955600831,35.7655500947877,0.152845225344943,"CCND1",1
"Temsirolimus BOSS",0.0739815955600831,35.7655500947877,0.152845225344943,"EIF4EBP1",1
"Anacardic acid C15:3 CTD 00003117",0.0739815955600831,35.7655500947877,0.152845225344943,"CCND1",1
"HC toxin MCF7 DOWN",0.0732968268651892,12.1797258256555,0.152845225344943,"CCND1;PCNT",2
"thapsigargin PC3 DOWN",0.0731576994719743,8.42943633825279,0.152845225344943,"CCND1;PCOLCE2;HSPA2",3
"testosterone CTD 00006844",0.0731322836545047,5.30994639740722,0.152845225344943,"SOCS2;NAMPT;EIF4EBP1;MT1X;ANKRD2;CD14;FKBP5",7
"ETHYL METHANESULFONATE CTD 00005938",0.0737545504837998,4.57337502189154,0.152845225344943,"CENPV;CEBPB;CDKN1A;ERAP2;ALOX5AP;CYP4B1;MYH11;MAGED2;GPCPD1;SAT1;HLA-DPA1",11
"epinephrine",0.076716900477825,33.9087640365707,0.155084992522226,"CA14",1
"3-methyladenine CTD 00001217",0.076716900477825,33.9087640365707,0.155084992522226,"CDKN1A",1
"Artenimol CTD 00001819",0.076716900477825,33.9087640365707,0.155084992522226,"CDKN1A",1
"phenylbutazone CTD 00006518",0.076716900477825,33.9087640365707,0.155084992522226,"CCND1",1
"2,6,9,9-tetramethylcycloundeca-2,6,10-trien-1-one CTD 00003763",0.076716900477825,33.9087640365707,0.155084992522226,"CCND1",1
"Norcantharidin CTD 00002732",0.076716900477825,33.9087640365707,0.155084992522226,"CDKN1A",1
"Perfluorohexanesulfonic acid CTD 00004138",0.076716900477825,33.9087640365707,0.155084992522226,"ANGPTL4",1
"halcinonide HL60 UP",0.076716900477825,33.9087640365707,0.155084992522226,"FKBP5",1
"Evodiamine CTD 00002158",0.076716900477825,33.9087640365707,0.155084992522226,"CCND1",1
"mometasone MCF7 UP",0.076716900477825,33.9087640365707,0.155084992522226,"CDKN1A",1
"niclosamide MCF7 DOWN",0.076716900477825,33.9087640365707,0.155084992522226,"HSPA2",1
"DL-Thyroxine CTD 00006892",0.076716900477825,33.9087640365707,0.155084992522226,"CDKN1A",1
"cyclopenthiazide PC3 UP",0.0763145927773156,8.14089204806934,0.155084992522226,"LYVE1;CXCL14;FKBP5",3
"formaldehyde CTD 00006001",0.0779179352657238,4.18804087295081,0.157252560263552,"CENPV;CEBPB;CDKN1A;ERAP2;HSPA2;PPM1K;GPCPD1;SAT1;NUDT4;SOCS2;BCL6;XPO4;MAGED2;TIMP1",14
"5155877 PC3 UP",0.0794442623905929,32.2070114548084,0.157469877238497,"ANGPTL4",1
"retinal CTD 00006694",0.0794442623905929,32.2070114548084,0.157469877238497,"ADH1B",1
"fludroxycortide HL60 UP",0.0794442623905929,32.2070114548084,0.157469877238497,"FKBP5",1
"flumetasone HL60 UP",0.0794442623905929,32.2070114548084,0.157469877238497,"FKBP5",1
"fluphenazine PC3 UP",0.0794442623905929,32.2070114548084,0.157469877238497,"CDKN1A",1
"15442-64-5 CTD 00000915",0.0794442623905929,32.2070114548084,0.157469877238497,"CDKN1A",1
"NSC321521 CTD 00005452",0.0794442623905929,32.2070114548084,0.157469877238497,"CDKN1A",1
"Chinomethionate CTD 00000210",0.0794442623905929,32.2070114548084,0.157469877238497,"FKBP5",1
"Aurin CTD 00000867",0.0794442623905929,32.2070114548084,0.157469877238497,"FKBP5",1
"2,3-diformyloxypropyl formate CTD 00006941",0.0794442623905929,32.2070114548084,0.157469877238497,"C3",1
"N-NITROSODIETHYLAMINE CTD 00005817",0.0783868212726936,11.4039895756702,0.157469877238497,"HSPA2;TIMP1",2
"Cyperquat CTD 00007079",0.0801078504929987,11.1615514659124,0.158271335682769,"CCND1;LUM",2
"luteolin HL60 UP",0.0801078504929987,11.1615514659124,0.158271335682769,"NPR3;CD14",2
"Perfluorononanoic acid CTD 00003375",0.0821637039796817,30.6424975463226,0.160258598337366,"ANGPTL4",1
"diflorasone HL60 UP",0.0821637039796817,30.6424975463226,0.160258598337366,"FKBP5",1
"mefloquine HL60 UP",0.0821637039796817,30.6424975463226,0.160258598337366,"MT1X",1
"niclosamide PC3 DOWN",0.0821637039796817,30.6424975463226,0.160258598337366,"HSPA2",1
"prochlorperazine PC3 UP",0.0821637039796817,30.6424975463226,0.160258598337366,"CDKN1A",1
"ribavirin HL60 UP",0.0821637039796817,30.6424975463226,0.160258598337366,"FKBP5",1
"withaferin A PC3 DOWN",0.0821637039796817,30.6424975463226,0.160258598337366,"NNMT",1
"dichlorvos CTD 00004426",0.0821637039796817,30.6424975463226,0.160258598337366,"CCND1",1
"7-Hydroxystaurosporine CTD 00002331",0.0848752478256348,29.1999982522678,0.161926058742344,"CCND1",1
"atovaquone MCF7 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"MT1X",1
"bepridil PC3 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"CDKN1A",1
"budesonide HL60 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"FKBP5",1
"colforsin MCF7 DOWN",0.0848752478256348,29.1999982522678,0.161926058742344,"HSPA2",1
"dequalinium chloride MCF7 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"CEBPB",1
"Perfluorodecanoic acid CTD 00001721",0.0848752478256348,29.1999982522678,0.161926058742344,"ANGPTL4",1
"dicumarol CTD 00005515",0.0848752478256348,29.1999982522678,0.161926058742344,"CDKN1A",1
"gabexate HL60 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"FKBP5",1
"harmol MCF7 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"CDKN1A",1
"homochlorcyclizine PC3 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"SOCS2",1
"mepacrine MCF7 UP",0.0848752478256348,29.1999982522678,0.161926058742344,"CDKN1A",1
"OLEANOLIC ACID CTD 00006433",0.0848752478256348,29.1999982522678,0.161926058742344,"CCND1",1
"1'-Acetoxychavicol acetate CTD 00002113",0.0848752478256348,29.1999982522678,0.161926058742344,"CCND1",1
"dopamine",0.0875789164754865,27.8664170437702,0.164008983154247,"CA14",1
"lasalocid HL60 UP",0.0875789164754865,27.8664170437702,0.164008983154247,"SAT1",1
"TIRON CTD 00006898",0.0875789164754865,27.8664170437702,0.164008983154247,"CDKN1A",1
"meglumine PC3 DOWN",0.0875789164754865,27.8664170437702,0.164008983154247,"NUDT4",1
"methylbenzethonium chloride MCF7 UP",0.0875789164754865,27.8664170437702,0.164008983154247,"MT1X",1
"methimazole CTD 00006291",0.0875789164754865,27.8664170437702,0.164008983154247,"MGST1",1
"fenvalerate CTD 00000912",0.0875789164754865,27.8664170437702,0.164008983154247,"C3",1
"methyl salicylate CTD 00001586",0.0875789164754865,27.8664170437702,0.164008983154247,"NPR3",1
"Indeno[1,2,3-cd]pyrene CTD 00001895",0.0875789164754865,27.8664170437702,0.164008983154247,"TIMP1",1
"2,4-Diisocyanato-1-methylbenzene CTD 00006908",0.0875789164754865,27.8664170437702,0.164008983154247,"TIMP1",1
"Microcystin LR CTD 00002422",0.0875789164754865,27.8664170437702,0.164008983154247,"CDKN1A",1
"arsenite CTD 00000779",0.0869024215565092,4.7429271689196,0.164008983154247,"CEBPB;CCND1;NPR3;NAMPT;HSPA2;CD14;CXCL14",7
"(-)-Epigallocatechin gallate CTD 00002033",0.0888900003518592,4.18754202675427,0.166209326844747,"ADAMTS5;CDKN1A;NNMT;BCL6;CCND1;MTFP1;MT1X;CD14;SAT1;NUDT4",10
"nicardipine CTD 00006388",0.0902747323888047,26.6304297739693,0.166302455211417,"CCND1",1
"sodium fluoride CTD 00006755",0.0902747323888047,26.6304297739693,0.166302455211417,"CDKN1A",1
"NAPROXEN CTD 00006380",0.0902747323888047,26.6304297739693,0.166302455211417,"CCND1",1
"lithocholic acid HL60 UP",0.0902747323888047,26.6304297739693,0.166302455211417,"FKBP5",1
"chloroquine CTD 00005645",0.0902747323888047,26.6304297739693,0.166302455211417,"CDKN1A",1
"Nilotinib BOSS",0.0902747323888047,26.6304297739693,0.166302455211417,"MRC1",1
"METHOXYACETIC ACID CTD 00000714",0.0902747323888047,26.6304297739693,0.166302455211417,"MT1X",1
"bicalutamide CTD 00002279",0.0897802647439011,9.95418617053731,0.166302455211417,"CDKN1A;EIF4EBP1",2
"pyrvinium MCF7 UP",0.0897802647439011,9.95418617053731,0.166302455211417,"CEBPB;CDKN1A",2
"cephaeline MCF7 UP",0.0904380264212782,5.2825034271939,0.166302455211417,"SOCS2;C3;CYP4B1;MT1X;SAT1",5
"Copper sulfate CTD 00007279",0.0903453678633704,3.5747718595229,0.166302455211417,"CEBPB;CDKN1A;ERAP2;PCOLCE2;NPR3;MT1M;FBLN1;MT1X;HSPA2;GPCPD1;LYVE1;SAT1;NUDT4;SOCS2;BCL6;CCND1;NAMPT;EIF4EBP1;MAGED2;TIMP1;ANGPTL4;CD14;FKBP5",23
"14-Deoxy-11,12-didehydroandrographolide CTD 00004394",0.0915749359153218,9.75531610650148,0.168139844740764,"CCND1;NAMPT",2
"phenylephrine CTD 00006521",0.0929627180014142,25.4821978955353,0.169161667182901,"CDKN1A",1
"methotrexate PC3 DOWN",0.0929627180014142,25.4821978955353,0.169161667182901,"SAT1",1
"trichostatin A ssMCF7 UP",0.0929627180014142,25.4821978955353,0.169161667182901,"SAT1",1
"gemfibrozil CTD 00007055",0.0929627180014142,25.4821978955353,0.169161667182901,"CEBPB",1
"MG-132 CTD 00002789",0.0924762682748631,9.65804448329043,0.169161667182901,"CEBPB;CCND1",2
"MERCURY CTD 00006274",0.0924008671134889,6.92007791490912,0.169161667182901,"C3;SFRP1;MT1M",3
"Benzyl butyl phthalate CTD 00001292",0.0956428956559788,24.4131352609493,0.171483077233407,"RXRG",1
"MANCOZEB CTD 00000687",0.0956428956559788,24.4131352609493,0.171483077233407,"CCND1",1
"ML-7 CTD 00002750",0.0956428956559788,24.4131352609493,0.171483077233407,"CCND1",1
"alclometasone HL60 UP",0.0956428956559788,24.4131352609493,0.171483077233407,"FKBP5",1
"bisacodyl PC3 UP",0.0956428956559788,24.4131352609493,0.171483077233407,"CDKN1A",1
"Geranylgeranyl pyrophosphate CTD 00000102",0.0956428956559788,24.4131352609493,0.171483077233407,"CDKN1A",1
"etoposide MCF7 UP",0.0956428956559788,24.4131352609493,0.171483077233407,"CDKN1A",1
"ZERANOL CTD 00007009",0.0956428956559788,24.4131352609493,0.171483077233407,"CCND1",1
"perphenazine MCF7 UP",0.0956428956559788,24.4131352609493,0.171483077233407,"SAT1",1
"promethazine PC3 UP",0.0956428956559788,24.4131352609493,0.171483077233407,"CDKN1A",1
"levodopa",0.0983152876195209,23.4157172076685,0.172723692350266,"CA14",1
"prednisone CTD 00006606",0.0983152876195209,23.4157172076685,0.172723692350266,"CDKN1A",1
"warfarin CTD 00005716",0.0983152876195209,23.4157172076685,0.172723692350266,"ALOX5AP",1
"CP-690334-01 PC3 UP",0.0983152876195209,23.4157172076685,0.172723692350266,"CDKN1A",1
"leucovorin CTD 00005678",0.0983152876195209,23.4157172076685,0.172723692350266,"CDKN1A",1
"Tributyltin CTD 00000610",0.0983152876195209,23.4157172076685,0.172723692350266,"NAMPT",1
"dipivefrine HL60 UP",0.0983152876195209,23.4157172076685,0.172723692350266,"SAT1",1
"luteolin PC3 UP",0.0983152876195209,23.4157172076685,0.172723692350266,"ANGPTL4",1
"resveratrol PC3 UP",0.0983152876195209,23.4157172076685,0.172723692350266,"SAT1",1
"Vandetanib CTD 00004046",0.0983152876195209,23.4157172076685,0.172723692350266,"ANGPTL4",1
"Monoisoamyl-2,3-dimercaptosuccinate CTD 00003178",0.0983152876195209,23.4157172076685,0.172723692350266,"CCND1",1
"O,P'-DDT CTD 00000838",0.0970219877840283,9.19221308060902,0.172723692350266,"CCND1;HSPA2",2
"PhIP CTD 00002156",0.0979387856231542,9.10296902733401,0.172723692350266,"CEBPB;CDKN1A",2
"3'-Azido-3'-deoxythymidine CTD 00007047",0.0982525148842991,6.55659363156662,0.172723692350266,"CDKN1A;CCND1;EIF4EBP1",3
"hydrochloric acid CTD 00006115",0.100979916121873,22.4833232918364,0.175386170106411,"CCND1",1
"Linalool CTD 00000957",0.100979916121873,22.4833232918364,0.175386170106411,"CDKN1A",1
"palmitic acid CTD 00007272",0.100979916121873,22.4833232918364,0.175386170106411,"MT1X",1
"Destruxin B CTD 00001859",0.100979916121873,22.4833232918364,0.175386170106411,"CCND1",1
"adenosine CTD 00005319",0.100979916121873,22.4833232918364,0.175386170106411,"CD14",1
"ciprofloxacin CTD 00005674",0.100979916121873,22.4833232918364,0.175386170106411,"CDKN1A",1
"pyrithione CTD 00000427",0.100979916121873,22.4833232918364,0.175386170106411,"CD14",1
"L-leucine BOSS",0.100704086564514,8.84263879208479,0.175386170106411,"LUM;EIF4EBP1",2
"celecoxib",0.103636803334726,21.6101069880355,0.177227642677451,"CA14",1
"Quinine CTD 00006682",0.103636803334726,21.6101069880355,0.177227642677451,"CDKN1A",1
"ivermectin MCF7 UP",0.103636803334726,21.6101069880355,0.177227642677451,"CEBPB",1
"reserpine CTD 00006693",0.103636803334726,21.6101069880355,0.177227642677451,"CCND1",1
"Selenium methyl cysteine CTD 00000103",0.103636803334726,21.6101069880355,0.177227642677451,"CCND1",1
"Romidepsin CTD 00003096",0.103636803334726,21.6101069880355,0.177227642677451,"CDKN1A",1
"trifluoperazine PC3 UP",0.103636803334726,21.6101069880355,0.177227642677451,"CDKN1A",1
"CROTONALDEHYDE CTD 00000669",0.102559823760342,8.67502383156293,0.177227642677451,"CCND1;ANGPTL4",2
"Copper(II) chloride CTD 00001408",0.102559823760342,8.67502383156293,0.177227642677451,"CDKN1A;MT1X",2
"ZEARALENONE CTD 00007008",0.102559823760342,8.67502383156293,0.177227642677451,"IFITM3;SAT1",2
