"term","pval","combined","adjp","genes","n"
"sanguinarine HL60 DOWN",0.72396686665319,0.252696123452289,0.741580154516397,"FKBP5",1
"deptropine HL60 DOWN",0.727281007122946,0.246776372597167,0.743727060047836,"FKBP5",1
"emetine HL60 DOWN",0.727281007122946,0.246776372597167,0.743727060047836,"CYBRD1",1
"digoxin MCF7 DOWN",0.738575360740411,0.227332413691682,0.754644782815097,"SOCS2",1
"chlorzoxazone HL60 DOWN",0.740127145318745,0.234445495336985,0.755598030463367,"TIMP1;CD14;SAT1",3
"chlorzoxazone HL60 UP",0.743273845990716,0.219566016163663,0.758176579744916,"HLA-DPA1",1
"tyrphostin AG-825 MCF7 DOWN",0.748650561965823,0.210903124558323,0.763023652888372,"NUDT4",1
"azacitidine MCF7 DOWN",0.763410033125657,0.188308177058219,0.777417556669247,"HSPA2",1
"mitoxantrone MCF7 DOWN",0.773917248572771,0.173232945338814,0.787460800422795,"CEBPB",1
"ouabain HL60 DOWN",0.80691161625262,0.130902224101127,0.820348945415861,"CD14",1
"anisomycin PC3 DOWN",0.812120317598019,0.124866641944287,0.824957493999319,"EIF4EBP1",1
"diazinon CTD 00005790",0.813427578098334,0.133714108066692,0.825598564304294,"CDKN1A;GNPNAT1",2
"chlortetracycline HL60 DOWN",0.823203382937799,0.12306383594857,0.834826686517486,"TIMP1;SAT1",2
"camptothecin MCF7 DOWN",0.833635544925657,0.118981282547878,0.844704564609317,"SOCS2;NAMPT;NUDT4",3
"etifenin PC3 DOWN",0.839129463689168,0.0961552923850302,0.849566397317142,"CCND1",1
"proscillaridin HL60 DOWN",0.844433785712405,0.0910015246075927,0.85422837809018,"NAMPT",1
"latamoxef HL60 DOWN",0.854575660625198,0.0981707906640854,0.863772252999475,"PCOLCE2;PCNT;NUDT4",3
"neostigmine bromide PC3 DOWN",0.858041705748253,0.0784670004293481,0.866558248733348,"CCND1",1
"digoxigenin HL60 DOWN",0.863150978590323,0.074008917171466,0.870997805668417,"NAMPT",1
"digitoxigenin PC3 DOWN",0.875908379089518,0.0634482844866962,0.883141313681505,"NUDT4",1
"azacyclonol HL60 DOWN",0.879280661472378,0.0607898419347944,0.885809973314995,"NUDT4",1
"meclofenoxate HL60 DOWN",0.882922032297641,0.0579805295117776,0.888745095989629,"NUDT4",1
"digitoxigenin HL60 DOWN",0.886455369310052,0.0553147472801576,0.891566726464229,"CD14",1
"zalcitabine PC3 DOWN",0.88749477740689,0.0545417449156585,0.891877467665689,"NUDT4",1
"medrysone HL60 DOWN",0.89864042971006,0.0465681771612292,0.902335497266434,"NUDT4",1
"captopril PC3 DOWN",0.924577147115876,0.0301815066757365,0.927616020237046,"CCND1",1
"8-azaguanine HL60 DOWN",0.933551446476429,0.0251985660570117,0.935850834275632,"ERAP2",1
"cimetidine PC3 DOWN",0.944133841821522,0.0197701232228276,0.945682871914749,"NAMPT",1
"2-Methylcholine CTD 00002006",0.962610072785979,0.0146862146610174,0.963399097435803,"CEBPB;CDKN1A",2
"irinotecan MCF7 DOWN",0.979406180031846,0.00527009483152517,0.979406180031846,"NAMPT",1
