tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
heart,native cell,CENPV,0.04060019995837104,4.433957801116473,84552
heart,cardiac muscle myoblast,EIF4EBP1,0.030673681901647248,4.213461973317253,66335
heart,cardiac muscle myoblast,PITPNM1,0.03166968250828159,4.358181955227256,66335
heart,cardiac muscle myoblast,MAGED2,0.036849701984129776,5.154141855732268,66335
heart,cardiac muscle myoblast,NUDT4,1.283878652269716,83.06625461671817,66335
heart,cardiac muscle myoblast,MTFP1,0.020486405340200308,2.8552046430994196,66335
heart,cardiac muscle myoblast,PPM1K,1.4885377771288142,84.83153689605788,66335
heart,cardiac muscle myoblast,NAMPT,0.6270750266439797,55.130775608653046,66335
heart,cardiac muscle myoblast,CCND1,0.0802888013733047,10.692696163412979,66335
heart,cardiac muscle myoblast,FBLN1,0.04283910062558022,5.956131755483531,66335
heart,cardiac muscle myoblast,ERAP2,0.03296472499551541,4.520991934876008,66335
heart,cardiac muscle myoblast,CENPV,0.026988551553231783,3.7943770257028717,66335
heart,myeloid cell,EIF4EBP1,0.0532052532623641,6.511049052938319,65888
heart,myeloid cell,PITPNM1,0.012520511595296189,1.7635988343856241,65888
heart,myeloid cell,MAGED2,0.025874316127859544,3.2266877124817874,65888
heart,myeloid cell,NUDT4,0.054027260077150197,7.190990772219524,65888
heart,myeloid cell,MTFP1,0.0079555353561381,1.0153593977659057,65888
heart,myeloid cell,PPM1K,0.06431692328092367,8.450704225352112,65888
heart,myeloid cell,NAMPT,0.3306052887223339,25.740650801359884,65888
heart,myeloid cell,CCND1,0.02699822205335495,3.196333171442448,65888
heart,myeloid cell,FBLN1,0.014417844724530674,1.9533147158814959,65888
heart,myeloid cell,ERAP2,0.052832835504532785,6.951189898008742,65888
heart,myeloid cell,CENPV,0.005903759465569603,0.8393030597377368,65888
heart,capillary endothelial cell,EIF4EBP1,0.0351298087301416,4.736540471294205,59326
heart,capillary endothelial cell,PITPNM1,0.01404537105055543,1.9940666823989481,59326
heart,capillary endothelial cell,MAGED2,0.13529835420903402,16.32842261403095,59326
heart,capillary endothelial cell,NUDT4,0.038492169633934224,5.02140714020834,59326
heart,capillary endothelial cell,MTFP1,0.008025192368059885,1.1209250581532548,59326
heart,capillary endothelial cell,PPM1K,0.03953371264827399,5.33492903617301,59326
heart,capillary endothelial cell,NAMPT,0.22054146401370903,23.588308667363382,59326
heart,capillary endothelial cell,CCND1,0.133219549892862,14.410208003236354,59326
heart,capillary endothelial cell,FBLN1,0.009629965977864396,1.2894852172740452,59326
heart,capillary endothelial cell,ERAP2,0.08393028673767035,10.143950375889155,59326
heart,capillary endothelial cell,CENPV,0.002863613371139664,0.4045443818898965,59326
heart,cardiac endothelial cell,EIF4EBP1,0.023539818196586505,2.873780533918173,39669
heart,cardiac endothelial cell,PITPNM1,0.013792368572886805,1.8856033678691169,39669
heart,cardiac endothelial cell,MAGED2,0.047295527280409234,5.32909828833598,39669
heart,cardiac endothelial cell,NUDT4,0.16542225599968094,20.38115404976178,39669
heart,cardiac endothelial cell,MTFP1,0.005788403987319563,0.7890292167687615,39669
heart,cardiac endothelial cell,PPM1K,0.15591484624830024,19.617333434167737,39669
heart,cardiac endothelial cell,NAMPT,0.26358236183863304,27.84289999747914,39669
heart,cardiac endothelial cell,CCND1,0.08380419692482538,8.850739872444478,39669
heart,cardiac endothelial cell,FBLN1,0.03745416356027374,5.099700017646021,39669
heart,cardiac endothelial cell,ERAP2,0.08896110244086873,10.819531624190173,39669
heart,cardiac endothelial cell,CENPV,0.004759926354089651,0.6604653507776853,39669
heart,regular atrial cardiac myocyte,EIF4EBP1,0.019701910148291465,2.742911660355982,33541
heart,regular atrial cardiac myocyte,PITPNM1,0.002826131153240325,0.4024924719000626,33541
heart,regular atrial cardiac myocyte,MAGED2,0.032937688316572,4.534748516740706,33541
heart,regular atrial cardiac myocyte,NUDT4,0.29071257835971176,32.73605438120509,33541
heart,regular atrial cardiac myocyte,MTFP1,0.0047305138876462234,0.6767836379356609,33541
heart,regular atrial cardiac myocyte,PPM1K,0.4733908585929717,45.03741689275812,33541
heart,regular atrial cardiac myocyte,NAMPT,0.2574343038783126,27.694463492442086,33541
heart,regular atrial cardiac myocyte,CCND1,0.03751181532916469,5.06842372022301,33541
heart,regular atrial cardiac myocyte,FBLN1,0.029685690646727294,4.135237470558421,33541
heart,regular atrial cardiac myocyte,ERAP2,0.014441112112740932,1.9945738051936437,33541
heart,regular atrial cardiac myocyte,CENPV,0.023482948050281876,3.2616797352493965,33541
heart,immature innate lymphoid cell,EIF4EBP1,0.02247974436627038,3.088897420683397,28651
heart,immature innate lymphoid cell,PITPNM1,0.013542496751546486,1.9196537642665177,28651
heart,immature innate lymphoid cell,MAGED2,0.013953773918203781,1.9824787965516038,28651
heart,immature innate lymphoid cell,NUDT4,0.11380177232209003,14.805765941851943,28651
heart,immature innate lymphoid cell,MTFP1,0.0037521720161396714,0.527032215280444,28651
heart,immature innate lymphoid cell,PPM1K,0.11739961604856329,15.179225855991065,28651
heart,immature innate lymphoid cell,NAMPT,0.7031170609259388,48.22170255837493,28651
heart,immature innate lymphoid cell,CCND1,0.01570438796956062,2.1604830546926808,28651
heart,immature innate lymphoid cell,FBLN1,0.034975588282158784,4.86195944295138,28651
heart,immature innate lymphoid cell,ERAP2,0.04344178625794298,5.877630798226938,28651
heart,immature innate lymphoid cell,CENPV,0.0018769955036756752,0.2687515269973125,28651
heart,smooth muscle cell,EIF4EBP1,0.12675589113978508,14.287493254742435,24091
heart,smooth muscle cell,PITPNM1,0.027347051519854945,3.69432568178988,24091
heart,smooth muscle cell,MAGED2,0.45823243817684933,36.3745797185671,24091
heart,smooth muscle cell,NUDT4,0.3291699041846601,32.481009505624506,24091
heart,smooth muscle cell,MTFP1,0.00898449093648958,1.2618820306338467,24091
heart,smooth muscle cell,PPM1K,0.10043988694567088,12.054294134739115,24091
heart,smooth muscle cell,NAMPT,0.18239010273507184,18.53804325266697,24091
heart,smooth muscle cell,CCND1,0.2260663824179199,21.215391640031548,24091
heart,smooth muscle cell,FBLN1,0.1809644105103773,14.34145531526296,24091
heart,smooth muscle cell,ERAP2,0.016381929035645178,2.071312938441742,24091
heart,smooth muscle cell,CENPV,0.052366316513969474,6.712050143207007,24091
heart,lymphocyte,EIF4EBP1,0.008591477771697768,1.1378002528445006,21357
heart,lymphocyte,PITPNM1,0.011681456654495015,1.671583087512291,21357
heart,lymphocyte,MAGED2,0.014597987059200112,2.008709088355106,21357
heart,lymphocyte,NUDT4,0.03729948500387509,4.991337734700567,21357
heart,lymphocyte,MTFP1,0.004343015131624628,0.5759235847731423,21357
heart,lymphocyte,PPM1K,0.08829433254218366,11.579341667837243,21357
heart,lymphocyte,NAMPT,0.04583582982156486,5.412745235754086,21357
heart,lymphocyte,CCND1,0.004415410273964945,0.5665589736386196,21357
heart,lymphocyte,FBLN1,0.008335542046979677,1.1752586973825911,21357
