tissue,cell_type,gene,mean_log1p,pct_expr,n_cells
muscle,dendritic cell,MAGED2,0.05385738691867204,7.503075030750307,813
muscle,dendritic cell,NUDT4,0.006820636481816478,0.984009840098401,813
muscle,dendritic cell,MTFP1,0.0017051591204541195,0.24600246002460024,813
muscle,dendritic cell,PPM1K,0.011582261375248945,1.5990159901599017,813
muscle,dendritic cell,NAMPT,0.24727168206359187,29.15129151291513,813
muscle,dendritic cell,CCND1,0.013287420495703065,1.845018450184502,813
muscle,dendritic cell,FBLN1,0.08725425267424824,11.31611316113161,813
muscle,dendritic cell,ERAP2,0.0565600002237205,7.872078720787208,813
muscle,dendritic cell,CENPV,0.0008525795602270597,0.12300123001230012,813
muscle,slow muscle cell,EIF4EBP1,0.2818167964077114,18.788627935723113,809
muscle,slow muscle cell,PITPNM1,0.0017135900678976505,0.24721878862793573,809
muscle,slow muscle cell,MAGED2,0.07883894075127261,8.281829419035846,809
muscle,slow muscle cell,NUDT4,0.10265313709622113,11.61928306551298,809
muscle,slow muscle cell,MTFP1,0.03881204997653277,2.8430160692212607,809
muscle,slow muscle cell,PPM1K,0.02020747876727242,2.8430160692212607,809
muscle,slow muscle cell,NAMPT,0.10613290871619,12.484548825710753,809
muscle,slow muscle cell,CCND1,0.0017135900678976505,0.24721878862793573,809
muscle,slow muscle cell,FBLN1,0.03034482338225149,3.584672435105068,809
muscle,slow muscle cell,ERAP2,0.007711155305539427,1.1124845488257107,809
muscle,slow muscle cell,CENPV,0.0422215308482921,5.19159456118665,809
muscle,erythroid lineage cell,EIF4EBP1,0.054871721157235986,7.4646074646074645,777
muscle,erythroid lineage cell,PITPNM1,0.0008920813159132556,0.1287001287001287,777
muscle,erythroid lineage cell,MAGED2,0.290102718112705,34.62033462033462,777
muscle,erythroid lineage cell,NUDT4,0.04170916163323008,5.7915057915057915,777
muscle,erythroid lineage cell,MTFP1,0.0,0.0,777
muscle,erythroid lineage cell,PPM1K,0.013903053877743361,1.9305019305019304,777
muscle,erythroid lineage cell,NAMPT,0.008920813159132556,1.287001287001287,777
muscle,erythroid lineage cell,CCND1,0.01799321328044091,2.4453024453024454,777
muscle,erythroid lineage cell,FBLN1,0.057177717928107025,7.5933075933075935,777
muscle,erythroid lineage cell,ERAP2,0.007658484666350572,1.0296010296010296,777
muscle,erythroid lineage cell,CENPV,0.0017841626318265112,0.2574002574002574,777
muscle,endothelial cell,EIF4EBP1,0.05647035255378476,7.7355836849507735,711
muscle,endothelial cell,PITPNM1,0.0019497811039791832,0.2812939521800281,711
muscle,endothelial cell,MAGED2,0.41223544879972346,46.413502109704645,711
muscle,endothelial cell,NUDT4,0.040301829283079856,5.485232067510548,711
muscle,endothelial cell,MTFP1,0.0029246716559687747,0.4219409282700422,711
muscle,endothelial cell,PPM1K,0.013648467727854281,1.969057665260197,711
muscle,endothelial cell,NAMPT,0.026635889597918246,3.6568213783403656,711
muscle,endothelial cell,CCND1,0.0987219629408438,13.220815752461322,711
muscle,endothelial cell,FBLN1,0.04355781759055523,5.625879043600563,711
muscle,endothelial cell,ERAP2,0.050289692590340614,7.032348804500703,711
muscle,endothelial cell,CENPV,0.0058493433119375495,0.8438818565400844,711
muscle,"CD8-positive, alpha-beta T cell",EIF4EBP1,0.12152925622996999,2.798507462686567,536
muscle,"CD8-positive, alpha-beta T cell",PITPNM1,0.050851406668549155,1.492537313432836,536
muscle,"CD8-positive, alpha-beta T cell",MAGED2,0.22162277173640124,5.037313432835821,536
muscle,"CD8-positive, alpha-beta T cell",NUDT4,0.40978105188305697,15.485074626865671,536
muscle,"CD8-positive, alpha-beta T cell",MTFP1,0.3356959724159383,9.328358208955224,536
muscle,"CD8-positive, alpha-beta T cell",PPM1K,0.5797182241482521,16.23134328358209,536
muscle,"CD8-positive, alpha-beta T cell",NAMPT,1.123723532948921,29.47761194029851,536
muscle,"CD8-positive, alpha-beta T cell",CCND1,0.0033428348712067108,0.373134328358209,536
muscle,"CD8-positive, alpha-beta T cell",FBLN1,0.0038795551257346994,0.5597014925373134,536
muscle,"CD8-positive, alpha-beta T cell",ERAP2,0.3866067537620886,11.194029850746269,536
muscle,"CD8-positive, alpha-beta T cell",CENPV,0.052038187411294054,1.3059701492537314,536
muscle,T cell,EIF4EBP1,0.0190275697147145,2.7450980392156863,510
muscle,T cell,PITPNM1,0.03636289203868193,4.117647058823529,510
muscle,T cell,MAGED2,0.06802912833643894,7.647058823529412,510
muscle,T cell,NUDT4,0.2079023232647017,24.705882352941178,510
muscle,T cell,MTFP1,0.0637561232435937,3.1372549019607843,510
muscle,T cell,PPM1K,0.2820293101609922,27.254901960784313,510
muscle,T cell,NAMPT,0.29343053546606324,23.137254901960784,510
muscle,T cell,CCND1,0.006795560612398035,0.9803921568627451,510
muscle,T cell,FBLN1,0.04793578970666025,4.509803921568627,510
muscle,T cell,ERAP2,0.12911134327159207,15.294117647058824,510
muscle,T cell,CENPV,0.021492701885746975,1.9607843137254901,510
muscle,endothelial cell of lymphatic vessel,EIF4EBP1,0.050362707746080954,3.2751091703056767,458
muscle,endothelial cell of lymphatic vessel,PITPNM1,0.0252852814686871,1.7467248908296944,458
muscle,endothelial cell of lymphatic vessel,MAGED2,0.2202533608440749,10.262008733624453,458
muscle,endothelial cell of lymphatic vessel,NUDT4,0.33807599284242856,17.685589519650655,458
muscle,endothelial cell of lymphatic vessel,MTFP1,0.014589756336795191,0.6550218340611353,458
muscle,endothelial cell of lymphatic vessel,PPM1K,0.06898393172884612,3.930131004366812,458
muscle,endothelial cell of lymphatic vessel,NAMPT,0.6017524881133867,21.179039301310045,458
muscle,endothelial cell of lymphatic vessel,CCND1,0.1463029051451704,9.606986899563319,458
muscle,endothelial cell of lymphatic vessel,FBLN1,0.021304159705815878,2.183406113537118,458
muscle,endothelial cell of lymphatic vessel,ERAP2,0.11616666296163501,5.676855895196507,458
muscle,endothelial cell of lymphatic vessel,CENPV,0.02002078268725799,1.3100436681222707,458
muscle,contractile cell,EIF4EBP1,0.0030944070645741056,0.44642857142857145,448
muscle,contractile cell,PITPNM1,0.007736017661435264,1.1160714285714286,448
muscle,contractile cell,MAGED2,0.024755256516592845,3.5714285714285716,448
muscle,contractile cell,NUDT4,0.07324438329253878,9.821428571428571,448
muscle,contractile cell,MTFP1,0.0015472035322870528,0.22321428571428573,448
muscle,contractile cell,PPM1K,0.01637709140777588,2.232142857142857,448
muscle,contractile cell,NAMPT,0.06769771661077227,9.151785714285714,448
muscle,contractile cell,CCND1,0.0030944070645741056,0.44642857142857145,448
muscle,contractile cell,FBLN1,0.018829351024968282,2.455357142857143,448
muscle,contractile cell,ERAP2,0.009283221193722315,1.3392857142857142,448
muscle,contractile cell,CENPV,0.0015472035322870528,0.22321428571428573,448
muscle,myeloid cell,EIF4EBP1,0.00488131818637042,0.704225352112676,284
muscle,myeloid cell,PITPNM1,0.00244065909318521,0.352112676056338,284
muscle,myeloid cell,MAGED2,0.01464395455911126,2.112676056338028,284
muscle,myeloid cell,NUDT4,0.00244065909318521,0.352112676056338,284
muscle,myeloid cell,MTFP1,0.00244065909318521,0.352112676056338,284
muscle,myeloid cell,PPM1K,0.01464395455911126,2.112676056338028,284
muscle,myeloid cell,NAMPT,0.04047823959672955,5.633802816901408,284
muscle,myeloid cell,CCND1,0.00976263637274084,1.408450704225352,284
muscle,myeloid cell,FBLN1,0.00244065909318521,0.352112676056338,284
muscle,myeloid cell,ERAP2,0.00732197727955563,1.056338028169014,284
muscle,myeloid cell,CENPV,0.0,0.0,284
muscle,Schwann cell,EIF4EBP1,0.00493343190366263,0.7117437722419929,281
muscle,Schwann cell,PITPNM1,0.0,0.0,281
muscle,Schwann cell,MAGED2,0.10770120484973188,14.234875444839858,281
muscle,Schwann cell,NUDT4,0.015219452542342325,1.7793594306049823,281
muscle,Schwann cell,MTFP1,0.0,0.0,281
muscle,Schwann cell,PPM1K,0.020152884446004955,2.491103202846975,281
muscle,Schwann cell,NAMPT,0.002466715951831315,0.35587188612099646,281
muscle,Schwann cell,CCND1,0.11863605662172799,14.946619217081851,281
muscle,Schwann cell,FBLN1,0.017267011662819208,2.491103202846975,281
muscle,Schwann cell,ERAP2,0.002466715951831315,0.35587188612099646,281
