"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","sig"
-0.185890611508644,5.46044398403493,-6.9196057583721,2.5415612702552e-11,1.83387181929992e-10,14.9586170839181,"LSM6","ns"
0.264475928312482,4.71658144738774,6.91808035393637,2.5654211093349e-11,1.8504287446036e-10,14.9494754342795,"C19orf18","ns"
0.21083294820628,6.99607918397995,6.91744891672444,2.57536217544597e-11,1.8569378961012e-10,14.9456917054411,"FTSJD2","ns"
-0.164205033695463,9.8139687416503,-6.91720914701298,2.57914691928408e-11,1.85892001927094e-10,14.9442550121604,"WWP1","ns"
0.126480278449201,8.07197837912387,6.91715851988869,2.57994676319276e-11,1.85892001927094e-10,14.9439516605524,"WDFY3","ns"
0.307336423681298,5.92404053953445,6.91352172367755,2.63804624043399e-11,1.90010627858286e-10,14.9221646855868,"IFRD2","ns"
-0.208844674694521,4.64605012821936,-6.91187713475578,2.6647399952016e-11,1.91865068833321e-10,14.9123152028422,"ZSCAN16","ns"
-0.133291376603834,7.03554911665901,-6.90933574900881,2.70651316468762e-11,1.94803545265043e-10,14.8970981700875,"PRDM4","ns"
-0.43461758021703,6.81975024746619,-6.90874793227587,2.71626653465108e-11,1.95399096533721e-10,14.8935790909746,"GADD45B","down"
0.164914662903156,10.5901140818343,6.9087208353624,2.7167169736297e-11,1.95399096533721e-10,14.8934168753439,"GABARAPL2","ns"
-0.550552247943025,7.59261774998855,-6.90798030014187,2.72905555888427e-11,1.96216866487902e-10,14.8889838434916,"CYBB","down"
-0.170627029613561,5.62992571600774,-6.90741530754675,2.73850635179714e-11,1.96826499820083e-10,14.8856018893721,"DUS3L","ns"
-0.147926242059958,7.71879539115402,-6.9070032707966,2.74541889721559e-11,1.97253332189445e-10,14.8831356324252,"ILF3","ns"
-0.21210233491719,6.27690433385032,-6.90547711989278,2.77117222035179e-11,1.99033057273068e-10,14.8740017581166,"CDC42EP1","ns"
-0.178586392064345,5.81482018879917,-6.90436603826888,2.79007067748406e-11,2.0031936016222e-10,14.8673529695439,"RRP9","ns"
-0.215535401173585,3.32928681786388,-6.90356111628207,2.80384076081452e-11,2.01236678843152e-10,14.8625367528065,"PCSK1","ns"
0.146932040428304,11.2868765169766,6.90115295851982,2.84543828851182e-11,2.04149865729786e-10,14.8481301092934,"UQCRC2","ns"
0.219751013582763,7.53766963885875,6.90051354247348,2.85658488598935e-11,2.04877019408032e-10,14.8443054667161,"ATXN7L1","ns"
-0.15175219174063,5.2300889819371,-6.89968073536369,2.87116717368385e-11,2.05849982073603e-10,14.8393244539195,"SLC39A3","ns"
-0.316535726501423,6.56979053647436,-6.89452768972556,2.9630376453563e-11,2.12361516167893e-10,14.8085139682122,"LDLRAD3","ns"
0.19631578677274,9.07877156838214,6.89443276445738,2.96475684197195e-11,2.12409568720551e-10,14.8079465611486,"MEF2C","ns"
0.229218126810093,8.49700633287407,6.8938962654957,2.97449185826696e-11,2.13031676440378e-10,14.804739796049,"ARV1","ns"
-0.172875280252186,6.58254808037959,-6.89347629098643,2.98213441448553e-11,2.13503536341428e-10,14.8022296498818,"HIRA","ns"
-0.15813936988875,7.45824631019193,-6.89311027158402,2.98881085971704e-11,2.13905919267523e-10,14.8000420798907,"SRPK1","ns"
0.158306927757967,5.90412223688385,6.89241836867244,3.00147182399513e-11,2.1473617210596e-10,14.7959070517725,"SCAI","ns"
-0.187474126981565,7.21102806368802,-6.89221460152546,3.00521055299592e-11,2.14927734958967e-10,14.7946893338595,"PLOD3","ns"
-0.172240706126475,6.71648838583472,-6.89122314977856,3.02346720698971e-11,2.16157094282985e-10,14.7887647700668,"MALT1","ns"
-0.20652496017563,5.9270415990467,-6.89001087715146,3.04593832783288e-11,2.176867850809e-10,14.7815215120666,"KLHDC5","ns"
-0.1928576672359,6.30903582544948,-6.88925448529152,3.06004219898924e-11,2.1861761798352e-10,14.7770025904906,"NOC2L","ns"
-0.230054396184348,10.0536091890137,-6.88699026962883,3.10264628830517e-11,2.21583208474376e-10,14.7634776423048,"ATP1B1","ns"
0.155687410857887,6.69728091160179,6.88620757200186,3.11750897664369e-11,2.22492796542158e-10,14.7588030787935,"ULK2","ns"
0.624951034271552,9.39880845453326,6.88620386565282,3.11757952299123e-11,2.22492796542158e-10,14.7587809440195,"FBXO40","up"
0.239229254172735,4.41184859595518,6.88483481691405,3.14374555820964e-11,2.24281164269032e-10,14.7506054164227,"LOC387790","ns"
0.160400571052773,7.29123512966097,6.88184736146073,3.20159557033746e-11,2.28327875639489e-10,14.7327694332585,"RUFY3","ns"
0.227074242100729,4.39829950112565,6.88170350431108,3.20440752594778e-11,2.28447976172286e-10,14.7319107079692,"APOBEC3G","ns"
0.256305277256079,6.663433274124,6.88025004786979,3.23295460694833e-11,2.30402049996944e-10,14.7232353447296,"PSMB9","ns"
0.139473896331705,11.4417408076378,6.88013553615544,3.2352143090346e-11,2.30481993018596e-10,14.722551906788,"ASAH1","ns"
0.134934249013315,6.41276174655973,6.87811125701821,3.27541751290737e-11,2.33264086872102e-10,14.7104718271522,"CRNKL1","ns"
-0.189841143653864,4.59622610372482,-6.87733100849091,3.29104446209204e-11,2.3429460293572e-10,14.7058163191629,"ZFP92","ns"
0.468648236584976,4.45444191103287,6.87584395337062,3.32103072511507e-11,2.36346297633452e-10,14.696944587579,"SNORD115-6","up"
0.212593335016433,2.29214676645444,6.87381167689411,3.36244616504221e-11,2.39209640417158e-10,14.6848223680219,"SNORD115-30","ns"
-0.126172227893584,7.57566166918685,-6.87324017526102,3.37418391077391e-11,2.39960396519715e-10,14.6814139240149,"KIAA0100","ns"
0.167855065114868,9.67613620778585,6.87298353873055,3.37946792138333e-11,2.40251819163559e-10,14.6798834080504,"NCOA4","ns"
0.168002844219085,8.12135180748847,6.87235018996475,3.39254307993724e-11,2.41096728214206e-10,14.6761064551059,"EFEMP2","ns"
0.217718141182519,6.57635872640877,6.87165147388571,3.40702542383142e-11,2.42025137709589e-10,14.6719399844029,"SMCR7","ns"
0.261044389282922,6.92324559290586,6.87160470841259,3.40799690306976e-11,2.42025137709589e-10,14.6716611312573,"EPDR1","ns"
-0.277823896264792,5.51007380595708,-6.87133553218243,3.41359391442309e-11,2.42337648589994e-10,14.6700561145554,"FOSL1","ns"
0.18420725191824,7.26768319685182,6.87048482531753,3.43134224352865e-11,2.43512283813698e-10,14.6649839109887,"PEX19","ns"
-0.328992199301817,4.913930445804,-6.86816071619623,3.48029406947373e-11,2.46899741096746e-10,14.6511291445959,"LRRC4","ns"
0.410507015941395,10.9303458865269,6.86742211865156,3.49599416979507e-11,2.47926701383156e-10,14.6467268500432,"MYOM2","up"
-0.209146830792825,7.57209600382916,-6.86718407256268,3.50106905247077e-11,2.48199694045302e-10,14.6453080882098,"RNPEPL1","ns"
-0.289112451792099,5.69005014895543,-6.86610272044753,3.52421363479986e-11,2.49753054440995e-10,14.6388636541247,"ST3GAL5","ns"
0.294181495861832,6.23413869092192,6.86369257640874,3.57634151290893e-11,2.53358590424825e-10,14.6245028375292,"C4orf46","ns"
0.45934414390379,7.521163046834,6.86358755525371,3.57863012105933e-11,2.53432078573201e-10,14.6238771547689,"TNNT3","up"
0.275691893275919,7.95568780545852,6.86291371215478,3.59334872574268e-11,2.5438547742465e-10,14.6198627793028,"CBX7","ns"
-0.172806305892353,4.06089323982774,-6.86051966597555,3.64612432351271e-11,2.58031453698206e-10,14.6056027621578,"LOC100129033","ns"
0.199897674320957,3.67965652755037,6.86009197350632,3.65563250479757e-11,2.58613973985924e-10,14.6030556200341,"KIAA0748","ns"
0.286453400733983,3.71511294920798,6.85990426989772,3.65981310295866e-11,2.58819324676413e-10,14.6019377796104,"RERGL","ns"
-0.200351206268248,6.1870159516744,-6.85940561460467,3.6709421670502e-11,2.59515750964868e-10,14.5989682232285,"ZNF865","ns"
0.205673783498427,7.88883774965103,6.85666338883983,3.73274078558032e-11,2.63792504784172e-10,14.5826407657501,"LENG8","ns"
-0.342949325439633,6.11896230954591,-6.85560198304986,3.75693414764124e-11,2.65409641528865e-10,14.5763223554273,"HCLS1","ns"
-0.227928108008753,5.11241749519189,-6.85330562196202,3.80980551876866e-11,2.69050909962135e-10,14.5626548905476,"CA5BP","ns"
-0.141863379350925,4.56248774811501,-6.852776224123,3.82209774310801e-11,2.69824913520075e-10,14.5595045043583,"POLD1","ns"
-0.609396933098689,6.89807319270998,-6.85241037256477,3.8306153203247e-11,2.70331995462915e-10,14.5573274685359,"FAM155B","down"
0.264837534409704,5.10468266939439,6.85180252999547,3.84480809211036e-11,2.71239091249053e-10,14.553710631227,"C14orf132","ns"
-0.135287816621227,7.1443771342663,-6.85146947827805,3.85260656810051e-11,2.71694615008036e-10,14.5517289787195,"ASNSD1","ns"
0.113685512765021,3.3005848667179,6.85108003898105,3.86174509627121e-11,2.72244292307264e-10,14.5494119112937,"ZNF365","ns"
-0.500048853725468,6.35125734379225,-6.84802906178303,3.93408022916941e-11,2.77247254563665e-10,14.5312627213095,"ARNTL","down"
-0.105731590667332,8.83383066494397,-6.84770730022745,3.94178603298318e-11,2.77693684563622e-10,14.5293490234013,"DCTN2","ns"
0.377031392080714,5.1032989881924,6.84460883701096,4.01675410368296e-11,2.82876695465906e-10,14.5109241136813,"MAEL","ns"
0.135542952410901,8.61861892355143,6.84422489398942,4.02614075770666e-11,2.8343918980393e-10,14.5086414385365,"TIA1","ns"
0.230219815687507,8.91041746306214,6.84136523606971,4.09673552803312e-11,2.8830883038493e-10,14.4916427548784,"PLEKHA5","ns"
-0.131685884666814,6.68109902675509,-6.8404422482123,4.11977951933684e-11,2.89796252012975e-10,14.4861573538107,"PTPMT1","ns"
0.352722535974261,4.83371927638542,6.84040417864737,4.12073272339967e-11,2.89796252012975e-10,14.48593111467,"CYSLTR1","ns"
0.181042126867154,7.1216101793649,6.83938644913782,4.1462956530409e-11,2.91492787770532e-10,14.4798833149866,"NFYA","ns"
