miRNA,gene,clipExpNum,panCancer,n_program,xref_validated
hsa-miR-20b-5p,CCND1,35,12,2,TRUE
hsa-miR-20b-5p,CCND1,3,12,4,TRUE
hsa-miR-448,CCND1,46,5,1,TRUE
hsa-miR-429,CCND1,4,5,1,FALSE
hsa-miR-449a,CCND1,8,6,4,TRUE
hsa-miR-329-3p,CCND1,15,2,1,FALSE
hsa-miR-451a,CCND1,4,3,1,TRUE
hsa-miR-409-5p,CCND1,36,3,1,FALSE
hsa-miR-409-5p,CCND1,5,3,1,FALSE
hsa-miR-409-3p,CCND1,3,2,1,FALSE
hsa-miR-410-3p,CCND1,13,3,1,FALSE
hsa-miR-485-3p,CCND1,21,4,1,FALSE
hsa-miR-487a-3p,CCND1,21,2,1,FALSE
hsa-miR-489-3p,CCND1,3,2,1,TRUE
hsa-miR-490-3p,CCND1,3,4,2,TRUE
hsa-miR-490-3p,CCND1,10,4,1,TRUE
hsa-miR-494-3p,CCND1,22,1,2,TRUE
hsa-miR-494-3p,CCND1,3,1,3,TRUE
hsa-miR-494-3p,CCND1,20,1,2,TRUE
hsa-miR-494-3p,CCND1,11,1,2,TRUE
hsa-miR-495-3p,CCND1,35,5,2,TRUE
hsa-miR-495-3p,CCND1,46,5,2,TRUE
hsa-miR-495-3p,CCND1,4,5,3,TRUE
hsa-miR-496,CCND1,10,3,1,FALSE
hsa-miR-193b-3p,CCND1,3,9,2,TRUE
hsa-miR-193b-3p,CCND1,32,9,4,TRUE
hsa-miR-497-5p,CCND1,7,9,4,TRUE
hsa-miR-497-5p,CCND1,51,9,5,TRUE
hsa-miR-520e,CCND1,3,6,5,FALSE
hsa-miR-520e,CCND1,9,6,2,FALSE
hsa-miR-519c-3p,CCND1,6,4,1,FALSE
hsa-miR-520a-5p,CCND1,20,5,2,FALSE
hsa-miR-520a-3p,CCND1,3,5,4,TRUE
hsa-miR-520a-3p,CCND1,9,5,2,TRUE
hsa-miR-526b-3p,CCND1,56,3,2,TRUE
hsa-miR-526b-3p,CCND1,3,3,3,TRUE
hsa-miR-519b-3p,CCND1,6,5,1,FALSE
hsa-miR-525-5p,CCND1,20,2,2,FALSE
hsa-miR-520b,CCND1,3,4,4,TRUE
hsa-miR-520b,CCND1,9,4,2,TRUE
hsa-miR-520c-3p,CCND1,3,4,4,FALSE
hsa-miR-520c-3p,CCND1,9,4,2,FALSE
hsa-miR-524-5p,CCND1,11,4,1,FALSE
hsa-miR-519d-3p,CCND1,56,3,3,TRUE
hsa-miR-519d-3p,CCND1,3,3,4,TRUE
hsa-miR-520d-5p,CCND1,11,3,1,FALSE
hsa-miR-520d-3p,CCND1,3,4,4,TRUE
hsa-miR-520d-3p,CCND1,9,4,2,TRUE
hsa-miR-520g-3p,CCND1,35,5,1,FALSE
hsa-miR-516b-5p,CCND1,4,3,1,TRUE
hsa-miR-520h,CCND1,35,3,1,FALSE
hsa-miR-522-3p,CCND1,3,5,1,FALSE
hsa-miR-522-3p,CCND1,11,5,2,FALSE
hsa-miR-519a-3p,CCND1,6,6,1,FALSE
hsa-miR-499a-5p,CCND1,19,3,1,FALSE
hsa-miR-503-5p,CCND1,15,4,4,TRUE
hsa-miR-503-5p,CCND1,52,4,3,TRUE
hsa-miR-505-3p,CCND1,7,11,1,FALSE
hsa-miR-513a-5p,CCND1,5,4,2,TRUE
