"gene","module"
"ADPRHL1","salmon"
"SLC1A4","green"
"MUC20","salmon"
"TIMP3","red"
"ARSG","yellow"
"NDN","grey"
"VEGFB","green"
"MEGF10","grey"
"ACKR1","red"
"PTN","red"
"SCN4B","turquoise"
"INIP","yellow"
"PER2","blue"
"ZNF549","yellow"
"ITM2A","pink"
"TAPT1-AS1","yellow"
"MRC1","tan"
"MRTO4","yellow"
"SLC38A4","grey"
"ITGB1BP1","turquoise"
"FAM200A","yellow"
"ZBED1","turquoise"
"CAV1","magenta"
"HEY1","magenta"
"CRADD","turquoise"
"BARD1","grey"
"ATG10","yellow"
"GPCPD1","brown"
"CIMAP1D","grey"
"AIMP2","turquoise"
"BCL6B","magenta"
"SPC25","turquoise"
"COL4A2","grey"
"LIAS","brown"
"ABCC13","yellow"
"ANXA2","pink"
"IFI44L","magenta"
"MIGA1","yellow"
"NANOS1","grey"
"GBP4","magenta"
"MSTN","grey"
"SNRPN","salmon"
"MX1","magenta"
"ST3GAL6","grey"
"RRAGD","turquoise"
"CHRNA5","yellow"
"BGN","yellow"
"C2orf15","yellow"
"NPIPA1","yellow"
"GOLIM4","cyan"
"MRPL36","black"
"CLEC2B","grey"
"TRDN","brown"
"FAM210A","turquoise"
"EIF4EBP1","turquoise"
"HIBCH","turquoise"
"SON","cyan"
"FABP5","magenta"
"MIR1-1HG","blue"
"SDHC","turquoise"
"PPM1K","grey"
"ALDH5A1","grey"
"CENPV","lightcyan"
"DGCR6L","grey"
"SLC1A7","red"
"GNPNAT1","yellow"
"GJA4","red"
"TPI1","turquoise"
"DHFR","turquoise"
"AIF1L","red"
"ATP23","grey"
"FABP3","turquoise"
"FSIP2","grey"
"HYI","yellow"
"H2AC18","grey"
"PPARGC1A","turquoise"
"TGFBI","pink"
"MTLN","turquoise"
"SDC3","red"
"CD36","grey"
"ANK1","black"
"SLC7A11","yellow"
"CSRNP1","red"
"BDH1","turquoise"
"ZNG1C","black"
"SIRPA","blue"
"CDKN2C","green"
"SAMD4A","grey"
"RNF122","blue"
"ECRG4","grey"
"TMT1A","blue"
"COL4A1","grey"
"N4BP2","yellow"
"FGF7P6","black"
"TP53INP2","turquoise"
"XPNPEP3","yellow"
"OVOS2P","grey"
"KBTBD6","yellow"
"LIMK1","grey"
"SGK3","yellow"
"HSD11B1","pink"
"LGALS1","blue"
"HSPA1A","blue"
"SRPK3","grey"
"MTCH2","turquoise"
"HIBADH","turquoise"
"DYNLL1","blue"
"MAT2A","blue"
"PTER","grey"
"BCL6","blue"
"COLQ","grey"
"APPL1","brown"
"SAA1","tan"
"KDM6A","grey"
"ATOH8","blue"
"TATDN1","black"
"ASB11","grey"
"SLC7A5P2","turquoise"
"ABCB7","brown"
"FBXL22","yellow"
"CNTFR","grey"
"IMMT","turquoise"
"STON1","yellow"
"COL4A3","blue"
"ASB12","turquoise"
"UFD1","brown"
"ICMT","turquoise"
"CDKN1C","yellow"
"A2M","grey60"
"DNAJC15","black"
"CLEC11A","turquoise"
"ACADSB","brown"
"HBEGF","turquoise"
"NDRG2","green"
"KRT10-AS1","turquoise"
"LAMB3","turquoise"
"RBP1","turquoise"
"RPS26","yellow"
"ACOX2","grey"
"PLAU","pink"
"MAMSTR","yellow"
"LTBP4","pink"
"CERS6","salmon"
"ENPP5","turquoise"
"HIGD1B","magenta"
"LMO1","turquoise"
"JPH2","grey"
"DRC8","grey"
"ANGPT1","grey"
"FBXL17","brown"
"SHISA4","green"
"TRIB1","blue"
"ARPP21","greenyellow"
"ITGAE","brown"
"CHST15","salmon"
"PENK","pink"
"NKAIN1","grey"
